"county","state","bidDate","projectName","projectLink","bidID","estimate","type","owner","location","scope","preBidDate","preBidTime","preBidLocation","bidTime","bidLocation","contactName","contactPhone","contactEmail"
"3/19/2025","State: TX","CWSRF 73782/19L0228","New 2.0 MGD Wastewater Treatment Plant-ReBID","https://www.civcastusa.com/project/6788205936b80d96ea5f94f0/summary","CWSRF 73782/19L0228","N/A","N/A","N/A","San Patricio County, TX","Bids are invited for the following improvements:

 Construction of a 2.0 MGD wastewater treatment plant including:

Site work and demolition of old structures including; old clarifiers, headworks, sludge drying beds, roads and associated piping and structures.


Site storm sewers, structures, plant process piping plant drain piping, sludge transfer piping, air piping, erosion control, grading and seeding.


Influent lift station modifications including new pumps, piping, basin modificaitons, valves, rehabilitation, hatches, electrical and required appurtenances.


Flow measurement


Headowrks including concrete structures, piping, sluice gates, manual bar screen, automatic bar screen, grit removal, grit washer/classifier, plant water piping, electrical and required appurtenances.


Aeration basins including reinforced concrete, aeration/mixing equipment, air piping, handrails, electrical, plant water piping, process water piping, sluice gates, weir gates, valves and appurtenances.


Blower/elctrical building including; concrete, pre-engineered steel building, electrical, blowers, air piping, HVAC, plumbing
and mechanical, and reuqired appurtenances.


Clarifiers including reinforced concrete, clarifiier mechanical equipment, weirs and baffles, handrailing, plant water, electrical and required appurtenances.


RAS/WAS pump station including reinforced concrete, pumps, piping, valves, grating, electrical, pre-engineered canopy and required appurtenances.


Disinfection including reinforced concrete contact chamber, grating, pre-engineerd building, sluice gates, scales, regulators, tank, automatic transfer valves, hoists, chemical feed piping, injectors, plant water, electrical and required appurtenances.


Plant water system including reinforced concrete, hydropneumatic tank piping, pumps, filter, valves and a pre-engineered steel shelter and required appurtenances.


Aerobic digesters including reinforced concrete, air piping, sludge transfer piping, pumps, valves, aeration/mixing equipment, handrails, sluice gates, telescopic valves and required appurtenances.


Sludge handling including reinforced concrete, underdrains, piping, sluice gates, sludge transfer piping, valves, grating, handrails, pre-engineerd steel building, sludge press, polymer feed


Motor control center and electrical including electrical cabinets, drives, SCADA, site wiring between units, site lighting, electrical standby power, autormatic transfer switches and required appurtenances.


Office and lab building including reinforced concrete, pre-engineered building, interior and exterior finishes, HVAC, plumbing, electrical, specified furniture and required appurtenances.


Demolition of the current wastewater plant including the old office building, headworks, aeration basins, clarifiers, digesters, chemical storage and blower building, sulfur dioxide storage and equipment and associated underground utiltiies.","CWSRF 73782/19L0228","N/A","N/A","N/A","N/A","CWSRF 73782/19L0228","N/A","N/A"
"3/14/2025","State: TX","22011.504","Moonlight Bend Municipal Utility District Wastewater Treatment Plant & Drip Fields","https://www.civcastusa.com/project/67a6bbbabc5c6b12ae057d57/summary","22011.504","N/A","N/A","N/A","Burnet County, TX","The work generally consists of the following:

Installation of a package-style 100,000 gallon per day wastewater treatment plant, including treatment basins, effluent filters, disinfection, chemical feed, and instrumentation and controls.
Installation of an effluent storage tank.
Constructing an influent lift station.
Constructing a subsurface area drip disposal system.
Constructing an effluent lift station.
Electrical system","22011.504","N/A","N/A","N/A","N/A","22011.504","N/A","N/A"
"3/13/2025","State: TX","2025DD-06","IFB 2025DD-06 - Schlemmer and Porter Street, Phase 3 Water + Wastewater Improvements","https://www.civcastusa.com/project/67aa0a80d66fdcd823669fd0/summary","2025DD-06","N/A","N/A","N/A","Hays County, TX","INTRODUCTION 

Purpose 

The City of Kyle is requesting Bids for furnishing all labor, materials, equipment, supervision, and incidentals, and for performing all Work required for the following:

Project: Schlemmer and Porter Street, Phase 3 Water + Wastewater Improvements

Proposers are invited for the items and scope of work as follows:


1. Construction of approximately 1,350 linear feet of 12-inch sanitary sewer lines, 37 linear feet of
8-inch sanitary sewer lines, and 1,445 linear feet of 8-inch water lines
2. 6 – 48-inch sanitary manholes
3. Abandonment of existing water and wastewater lines/manholes.
4. Surface repairs

General Submission Information  

This IFB is posted on the City of Kyle’s website at www.cityofkyle.com/rfps. As well as www.civcastusa.com under the Project ID ""2025DD-06"".

PROPOSAL SUBMISSION DEADLINE: Thursday, March 13th PRIOR TO 3:00 p.m. 

Proposals should be clearly marked IFB 2025DD-06 - Schlemmer and Porter Street, Phase 3 Water + Wastewater Improvements and submitted to: 

Daniel Dellemonache 
City of Kyle, Purchasing Supervisor 
520 Ranch to Market Road 150, Kyle TX 78640 
(512) 779-3874

Any proposal received later than the specified time, whether delivered in-person or by mail will be disqualified. The City of Kyle will not be responsible for late delivery from the post office or delivery to any location other than the one specified above. Responders are encouraged to hand deliver their proposals well ahead of opening time or follow up to confirm their proposals were received before the deadline.  The City further reserves its right to reject all proposals for any reason or any proposal that does not contain all the information requested in this IFB.   

A non-mandatory Pre-Bid Conference will be held on Wednesday, February 19, 2025 at 10:00am Local Time, on Microsoft Teams. Please rsvp to ddellemonache@cityofkyle.com for the link.

Potential responders may also submit a written email request to ddellemonache@cityofkyle.com for additional information or clarification.  The deadline for questions is Friday, February 28, at 5:00pm local time.  Please reference the IFB name in the subject line and provide the applicable page number with each question.  Responses to questions will be posted on the City of Kyle’s website at www.cityofkyle.com/rfps and www.civcastusa.com as an addendum prior to the submission deadline.  

SCOPE OF WORK 

This IFB will be awarding the Schlemmer and Porter Street, Phase 3 Water + Wastewater Improvements

SELECTION PROCESS

This IFB provides information necessary to prepare and submit proposals for consideration by the City.  

•    Step 1 – City Staff Evaluation
     o    City staff will evaluate all proposals for demonstrated competence.

 •    Step 2 City Council Award

     o    City Council will make the final determination and will award the contract.","2025DD-06","N/A","N/A","N/A","N/A","2025DD-06","N/A","N/A"
"3/13/2025","State: TX","P5R","Tomball South Wastewater Treatment Plant TSWWTP Expansion Project - GMP2 - CMAR (Webber Waterworks)","https://www.civcastusa.com/project/67a39940f31d7ba34031749f/summary","P5R","N/A","N/A","N/A","Harris County, TX","Webber Waterworks is requesting proposals from interested suppliers and subcontractors to perform specified scopes of supply on the construction of the South Wastewater Treatment Plant Expansion Project, a brownfield expansion from 1.5 MGD to 3.0 MGD average daily flow (ADF) wastewater treatment for the CITY OF TOMBALL. The project will include the conversion of existing lift station to a coarse screen structure, headworks improvements (addition of a second fine screen, replacement of grit removal system, and new dumpster area), replacement of existing RAS pump station (for existing clarifiers), replacement of existing digested sludge feed pumps, replacement of centrifuge in the existing dewatering building and expansion of the administration building. The following new facilities will also be constructed: influent lift station, aeration basin and blower buildings, clarifiers, Return Activated (RAS)/Waste Activated Sludge (WAS) pump station, filters, Ultraviolet (UV) disinfection system, vacuum truck receiving station, natural gas generators, electrical building and electrical and instrumentation improvements associated with the above items. Nearly every trade in the waterworks industry will be required. Competitive sealed proposals for individual scopes of work on the project will be submitted in accordance with each individual work package requirements. 

Webber is hosting a pre-bid meeting on February 20 at 10am at the City of Tomball Administrative Services Building (501 James Street, Tomball, TX 77375). A site walk is also available following the meeting.

Webber anticipates releasing the following work packages on March 13, 2025. Proposals for all of the following work packages are due by 2:00 pm on Thursday, April 17, 2024.

BP1-01.01_Commercial Package
BP2-01.01_Site Work and Process Facilities Package
BP3-01.01_ Sitewide Electrical Package
BP4-01.01_ Sitewide HVAC Package
BP5-01.01_ Sitewide SCADA, Instrumentation & Control Package

The Request for Proposal documents are available on Smart Bid. You can be given access by emailing your request to bids@wwebberUS.com with the subject line “Tomball South Wastewater Treatment Plant CMAR BP#________""","P5R","N/A","N/A","N/A","N/A","P5R","N/A","N/A"
"3/06/2025","State: TX","40237.22","City of Levelland New 1.8 MGD Wastewater Treatment Plant","https://www.civcastusa.com/project/6797d97c9c1a7339243345b1/summary","40237.22","N/A","N/A","N/A","Hockley County, TX","The Project includes the following Work:

-Closing of existing aeration lagoons.

-Construction of a new mechanical plant which includes: Screening, aeration basins, clarifiers, disinfection equipment, irrigation pump station, sludge dewatering equipment, sludge disposal methods, and laboratory, control, and solids handlings buildings.","40237.22","N/A","N/A","N/A","N/A","40237.22","N/A","N/A"
"3/05/2025","State: TX","RFP# 2025-023-PD-WW01-2023-01","RFP South Wastewater Treatment Plant Influent Lift Station","https://www.civcastusa.com/project/678168a87d83800f1ba79acf/summary","RFP# 2025-023-PD-WW01-2023-01","N/A","N/A","N/A","Williamson County, TX","The City of Hutto, Texas is soliciting a Competitive Sealed Proposals for the furnishing of all labor, material, tools, and equipment for the installation of approximately 9 ft of 66"" Influent pipe, Proposed Influent Lift Station, Bridge Crane, and respective Electrical Building at the South WWTP, including all associated access pavement, sidewalk, and site work.","RFP# 2025-023-PD-WW01-2023-01","N/A","N/A","N/A","N/A","RFP# 2025-023-PD-WW01-2023-01","N/A","N/A"
"2/27/2025","State: TX","BLEYL 1940-90702-116","Wastewater Treatment Plant Water Reuse System Improvements","https://www.civcastusa.com/project/67a540060f9d848b0ec78220/summary","BLEYL 1940-90702-116","N/A","N/A","N/A","Harris County, TX","Remove the existing non-potable water system, including the hydropneumatic tank, air compressor, two (2)

pumps, electrical controls, piping, and concrete foundations.

Install new non-potable water system, including two (2) 10-HP pumps with VFDs, piping, valves, strainer

box, elevated galvanized steel platform with handrails, and electrical controls.","BLEYL 1940-90702-116","N/A","N/A","N/A","N/A","BLEYL 1940-90702-116","N/A","N/A"
"2/27/2025","State: TX","130417","Wastewater Treatment Plant Metal Building Addition","https://www.civcastusa.com/project/67ab94eea829f35c124d21a5/summary","130417","N/A","N/A","N/A","Montgomery County, TX","A metal building including but not limited to electrical wiring, louvers, intake fans, lighting, doors, and all other miscellaneous appurtenances. This project also included the installation and construction of two sludge transfer pumps and all appurtenances to transfer digested sludge from the South WWTP to the West WWTP. In addition, the South WWTP lighting will be rehab and upgraded as depicted within Drawings. This project includes the demolition of the existing sludge transfer pumps, and all necessary work to complete work. This includes but not limited to cutting, plugging, and abandoning sewer lines, pavement, and any site restoration to return the construction area to the existing condition. The scope also includes electrical duct banks, conduits, wiring, and controls.","130417","N/A","N/A","N/A","N/A","130417","N/A","N/A"
"2/27/2025","State: TX","R-000266-0397-4 (File No. 4240-01)","HPW - Wastewater Collection System Rehabilitation and Renewal for Basin #AS077","https://www.civcastusa.com/project/679bda06586cd8f738df35c8/summary","R-000266-0397-4 (File No. 4240-01)","N/A","N/A","N/A","Harris County, TX","Work of the Contract is for the construction of sanitary sewer repairs, sanitary manhole repairs, and pavement reconstruction. Construction method for sanitary sewers is anticipated to be a combination of open cut and trenchless repairs on existing sanitary sewers, however; the Contractor’s means and methods are at his/her discretion. The contractor shall install the proposed pavements to the existing grades The project is within the wastewater meter basin AS077 which is located around the intersection of Richmond Avenue and Dunlavy Street in Council District C, Key Map 492 V/Z & 493 S/W","R-000266-0397-4 (File No. 4240-01)","N/A","N/A","N/A","N/A","R-000266-0397-4 (File No. 4240-01)","N/A","N/A"
"2/26/2025","State: TX","201-095-43 DST (J)/ ROAD(L)","HCMUD No. 525 Water, Wastewater, Storm and Paving to serve Sundance Prairie Drive Street Dedication, Section 1","https://www.civcastusa.com/project/67a53f83cd859d0695af9a3d/summary","201-095-43 DST (J)/ ROAD(L)","N/A","N/A","N/A","Harris County, TX","Project scope shall include the installation of approximately 4,500 LF of 8”-12” PVC water line; 850 LF of 8” PVC gravity sanitary sewer; 1,900 LF of 24”-54” RCP storm sewer; 21,700 SY of 7” reinforced concrete pavement.","201-095-43 DST (J)/ ROAD(L)","N/A","N/A","N/A","N/A","201-095-43 DST (J)/ ROAD(L)","N/A","N/A"
"2/21/2025","State: TX","21-005-04","Proposed Water Distribution, Wastewater Collection, Paving and Drainage Improvements to serve Sweetgrass Village Section Four","https://www.civcastusa.com/project/67a36f27033aa81c4b17da8b/summary","21-005-04","N/A","N/A","N/A","Harris County, TX","Project consists of water, sewer, drainage & paving to serve Sweetgrass Village Section 4, which is a residential single-family development consisting of 136 lots and approximately 28 acres.","21-005-04","N/A","N/A","N/A","N/A","21-005-04","N/A","N/A"
"2/20/2025","State: TX","211-026-04 DST (J)","HCMUD No. 560 Water, Wastewater and Storm to serve Crosby Farms, Sec. Four","https://www.civcastusa.com/project/67a236f9ab2ef38e4e6c68e8/summary","211-026-04 DST (J)","N/A","N/A","N/A","Harris County, TX","Project scope shall include the installation of approximately 3,218 LF of 8” PVC water line; 2,553 LF of 8” – 10”  PVC gravity sanitary sewer and 3,360 LF of 24”- 54”  RCP storm sewer.","211-026-04 DST (J)","N/A","N/A","N/A","N/A","211-026-04 DST (J)","N/A","N/A"
"2/20/2025","State: TX","211-071-06 DST (J)","WCMUD No. 41 Water, Wastewater, & Storm to serve Bluestem Section Six","https://www.civcastusa.com/project/679934c109be5fda044ae6e4/summary","211-071-06 DST (J)","N/A","N/A","N/A","Waller County, TX","Project scope shall include the installation of approximately 3,740 LF of 6”-8” PVC waterline; 3,460 LF of 8” PVC gravity sanitary sewer; and 3,380 LF of 24”-48” PP storm sewer.","211-071-06 DST (J)","N/A","N/A","N/A","N/A","211-071-06 DST (J)","N/A","N/A"
"2/14/2025","State: TX","1414-007-03, Contract No. 1","HCMUD 387 Wastewater Lift Station No. 4 Improv.","https://www.civcastusa.com/project/679bde94d3a0f45675405651/summary","1414-007-03, Contract No. 1","N/A","N/A","N/A","Harris County, TX","The project includes the Rebailitation of Riser Piping, Rehabilitation of the Sanitary Sewer Lift Station, Including coating the Wet Well, Header Piping, Replacement of Riser Piping, Rehabilitation of the Generator Enclosure, and Bypass Pumping.","1414-007-03, Contract No. 1","N/A","N/A","N/A","N/A","1414-007-03, Contract No. 1","N/A","N/A"
"2/13/2025","State: TX","E086-0630","Jacinto City Wastewater Treatment Plant Improvements - 2024","https://www.civcastusa.com/project/677fef63db96d0032978308f/summary","E086-0630","N/A","N/A","N/A","Harris County, TX","Work on this project includes the replacement of two (2) final clarifiers; provide and install single drop aeration in existing aerobic digesters; provide and install three (3) PD blowers; provide and install a non-potable water system; construct a concrete dechlorination and flow measurement basin; construct modifications to existing chlorine contact basins; miscellaneous site piping; electrical and instrumentation; and SCADA.","E086-0630","N/A","N/A","N/A","N/A","E086-0630","N/A","N/A"
"2/13/2025","State: TX","231-52-01 DST (I)(J)/DEV (L)","GCMUD No. 68 Clearing, Detention, Water, Wastewater, Storm and Paving to serve Bayou Ridge","https://www.civcastusa.com/project/6799583eab2ef3fd88bacdaf/summary","231-52-01 DST (I)(J)/DEV (L)","N/A","N/A","N/A","Galveston County, TX","Project scope shall include clearing of approximately 44 acres of earthen material, 130,825 CY of excavation, 483 CY of 5” pilot channel, 4,941 LF of 8” PVC waterline, 5,622 LF of 6”-8” PVC sanitary sewer, 5,460 LF of 24”-66” RCP storm sewer, 22,103 SY of 4”-6” reinforced concrete pavement, 1,228 LF of existing asphalt sawcut and 590 SY of 2” HMAC asphalt paving.","231-52-01 DST (I)(J)/DEV (L)","N/A","N/A","N/A","N/A","231-52-01 DST (I)(J)/DEV (L)","N/A","N/A"
