"bidTitle","bidNumber","category","status","closeDate","publicationDate","closingDate","bidOpeningInfo","contactPerson","descriptionFull","qualifications","relatedDocuments","projectLink"
"Architectural Services for Planning & Design of a new City Hall","RFQ 25-02","City Secretary","Status:","N/A","N/A","N/A","N/A","N/A","Description:


REQUEST FOR QUALIFICATIONS (RFQ-25-02)
Architectural Services for Planning & Design of New City Hall




The City of Alvin is issuing a Request for Qualifications (RFQ) from qualified architectural firms to provide professional services for the planning and design of a new City Hall facility. The selected firm will be responsible for delivering a full range of architectural services, including but not limited to site analysis, space needs assessment, conceptual and schematic design, cost estimating, design development, construction documents, and construction administration.

The City of Alvin reserves the right to reject any or all responses and to waive any informalities or irregularities in the RFQ process.","N/A","[{""title"":""RFQ 25-02 Architect City Hall Questions_updated 041625"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2361""},{""title"":""RFQ 25-02 Architect City Hall Questions_updated 042125"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2362""},{""title"":""RFQ 25-02 Architectural Services for Planning & Design of New City Hall Specifications (PDF)"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2364""},{""title"":""RFQ 25-02 Architect City Hall Questions_updated 042225"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2365""},{""title"":""RFQ 25-02 Architect City Hall Updated Timeline_updated 050125"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2389""}]","https://www.alvin-tx.gov/bids.aspx?bidID=32"
"Comprehensive Plan Update Consulting Services","RFP 24-02","City Secretary","Status:","N/A","N/A","N/A","N/A","N/A","Description:



The City of Alvin (the “City” or “City of Alvin”) is seeking proposals from qualified professional planning firms to provide professional consulting services to update the City’s Comprehensive Plan. The selected firm will build upon and coordinate with other recent and concurrent planning efforts and studies. The city’s current comprehensive plan can be found at: https://alvin-tx.gov/DocumentCenter/View/143/2035-Comprehensive-Plan-PDF

The Comprehensive Plan shall include but not be limited to the following planning elements: Future Land Use Map, Housing, Parks, Open Space, Transportation, Sustainability, Impacts of Current and Future Growth, and Historic Preservation. It should include relevant data, illustrative plans, urban design graphics, a realistic implementation plan, and public participation strategies.

The city envisions a process that will create a Comprehensive Plan that will guide responsible development, identify capital improvement projects, and develop sustainability efforts for the next ten years.  An evaluation and appraisal report will be prepared every five years, which will involve thorough review of the plans goals, objectives, policies, and recommendations, as well as reassessment of the overall community vision.

Question & Answers - Released 04/16/24","N/A","[{""title"":""RFP 24-02 Comprehensive Plan Update Consulting Services"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1550""},{""title"":""RFP 24-02 Comp Plan Questions & Answers 04/16/24"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1554""},{""title"":""RFP 24-02 Scoresheet"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1666""}]","https://www.alvin-tx.gov/bids.aspx?bidID=12"
"Insurance Broker/Consultant for Employee Benefits","RFQ 25-01","City Secretary","Status:","N/A","N/A","N/A","N/A","N/A","Description:



The City of Alvin invites the submittal of responses to a Request for Qualifications (RFQ) from qualified insurance brokers or consultants to assist with the evaluation, marketing, and administration of the City's employee benefits programs, including but not limited to health, dental, vision, and life insurance. The purpose of this RFQ is to select the most qualified professional firm to provide these services.","N/A","[{""title"":""RFQ 25-01 Insurance Consultant Services Employee Benefits (PDF)"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2274""},{""title"":""RFQ 25-01; Insurance Consultant Services Employee Benefits; Questions_ updated 033125"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2284""},{""title"":""RFQ 25-01 Insurance Consultant Services Employee Benefits Updated Timeline_ updated 050125"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2388""}]","https://www.alvin-tx.gov/bids.aspx?bidID=31"
"LANDSCAPE PLANNING/ARCHITECTURE SERVICES","RFQ 24-01","City Secretary","Status:","N/A","N/A","N/A","N/A","N/A","Description:



The City of Alvin is seeking proposals from qualified firms to provide comprehensive landscape planning services for various community projects. The selected firm will collaborate closely with city officials, and stakeholders, to enhance the aesthetic landscaping appeal, environmental sustainability, and usability of public spaces in the City of Alvin.

The scope of services for each project will be determined based on individual project needs. Selection of a firm by the city in response to this Request does not guarantee that professional services will be required. The City maintains sole discretion in assigning projects, if any, to the selected firms. The purpose of this RFQ is to establish a pool of the most qualified firms on an as-needed basis for individual projects.

The scope of services includes but is not limited to: Conducting site assessments and analysis of existing conditions, developing conceptual and detailed landscape designs, providing recommendations for plant selection, hardscape materials, and sustainable landscaping practices, collaborating with other design professionals and city departments as necessary, preparing cost estimates and budgets for proposed designs, presenting designs to city officials, and other stakeholders for feedback, finalizing design plans based on feedback and obtaining necessary approvals, providing construction oversight and project management services as needed, and ensuring compliance with all local, state, and federal regulations.","N/A","[{""title"":""RFQ 24-01 Landscaping Architecture Planning Services (PDF)"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1689""}]","https://www.alvin-tx.gov/bids.aspx?bidID=15"
"Ambulance Chassis","B-24-01","EMS","Status:","N/A","N/A","N/A","N/A","N/A","Description:



The city of Alvin is accepting sealed competitive bids from qualified professional companies to provide 2 (two) 2023 FORD F-450 Chassis with Ambulance Package 7.3L V8-Gas Engine.

All bids received must be marked ""SEALED BID No. B-24-01– AMBULANCE CHASSIS”, on the outside of a completely sealed envelope and submitted in writing to the Office of the City Secretary, 216 W. Sealy, Alvin, Texas, 77511. 

Bids will be received in the office of the City Secretary, 216 West Sealy Street, Alvin, TX 77511 no later than 2:00 P.M., Tuesday, January 30, 2024.

Bids will then be publicly opened and read aloud at 2:15 P.M., on Tuesday January 30, 2024, in the City Council Chambers, Alvin City Hall, 2nd Floor, 216 West Sealy, Alvin, TX 77511.

The City of Alvin reserves the right to reject any and all bids, to waive irregularities, and to accept the bid deemed to provide the best value for the City.","N/A","[{""title"":""B-24-01 Ambulance Chassis Bid Document Specifications"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1392""},{""title"":""B-24-01 Ambulance Chassis Bid Tab"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1424""}]","https://www.alvin-tx.gov/bids.aspx?bidID=9"
"2025-2026 Concrete Repair Program","B-25-05","Engineering","Status:","N/A","N/A","N/A","N/A","N/A","Description:



Sealed bids, in triplicate, on the original forms, signed by an officer of the Company will be received by the City of Alvin, Texas for furnishing all plans, labor, material, and equipment, and for performing all work required for construction of:

2025-2026 Concrete Repair Program","N/A","[{""title"":""B-25-05 Concrete Repair Program Bid Ad"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2186""},{""title"":""B-25-05 Concrete Repair Program Bid Tab"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2233""}]","https://www.alvin-tx.gov/bids.aspx?bidID=24"
"Alvin WWTP CMAR","RFP 23-03","Engineering","Status:","N/A","N/A","N/A","N/A","N/A","Description:



The project includes expanding the Alvin Wastewater Treatment Plant (WWTP) from 5.0 million gallons per day (MGD) to 7.5 MGD. The expansion includes replacing the existing influent screen and lift station with new coarse screen and lift station and adding a new headworks with fine screens and grit removal. A new train will be added consisting of two aeration basins, two secondary clarifiers, and a chlorine contact basin. The existing chemical building will be replaced with new chemical feed and storage facilities. Solids handling improvements will include adding mechanical thickeners and expanding the dewatering building to add a second belt filter press. The project also includes improvements to the existing facilities including replacing existing electrical gear, pumps, and blowers, and miscellaneous structural and process mechanical improvements. The estimated construction budget is $58.5 million.  See RFP Download provided below.","N/A","[{""title"":""Alvin WWTP CMAR RFP_Combined"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/983""},{""title"":""WWTP CMAR RFP_Response to Questions_4.18.23"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/982""}]","https://www.alvin-tx.gov/bids.aspx?bidID=4"
"Architectural Services for Planning & Design of a new City Hall","RFQ 25-02","Engineering","Status:","N/A","N/A","N/A","N/A","N/A","Description:


REQUEST FOR QUALIFICATIONS (RFQ-25-02)
Architectural Services for Planning & Design of New City Hall




The City of Alvin is issuing a Request for Qualifications (RFQ) from qualified architectural firms to provide professional services for the planning and design of a new City Hall facility. The selected firm will be responsible for delivering a full range of architectural services, including but not limited to site analysis, space needs assessment, conceptual and schematic design, cost estimating, design development, construction documents, and construction administration.

The City of Alvin reserves the right to reject any or all responses and to waive any informalities or irregularities in the RFQ process.","N/A","[{""title"":""RFQ 25-02 Architect City Hall Questions_updated 041625"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2361""},{""title"":""RFQ 25-02 Architect City Hall Questions_updated 042125"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2362""},{""title"":""RFQ 25-02 Architectural Services for Planning & Design of New City Hall Specifications (PDF)"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2364""},{""title"":""RFQ 25-02 Architect City Hall Questions_updated 042225"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2365""},{""title"":""RFQ 25-02 Architect City Hall Updated Timeline_updated 050125"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2389""}]","https://www.alvin-tx.gov/bids.aspx?bidID=32"
"Lift Station 23 Expansion & Elimination of Lift Stations 1, 15, 16, & 43","B-25-06","Engineering","Status:","N/A","N/A","N/A","N/A","N/A","Description:



Sealed bids, in triplicate, on the original forms, signed by an officer of the Company will be received by the City of Alvin, Texas for furnishing all plans, labor, material, and equipment, and for performing all work required for construction of:

Lift Station 23 Expansion & Elimination of Lift Stations 1, 15, 16, & 43




A Mandatory Pre-Bid Conference will be held at the PSF building with site visit to follow at 2:00 P.M., March 4, 2025.","N/A","[{""title"":""B-25-06 Lift Station 23 Expansion"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2234""},{""title"":""B-25-06 Lift Station 23 Addendum 1_ 030425_ 545pm"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2251""},{""title"":""B-25-06; E231-0060-Addendum No 1; posted 030625 7:35"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2253""},{""title"":""B-25-06 Bid Tab - Lift Station 23 Expansion"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/2270""}]","https://www.alvin-tx.gov/bids.aspx?bidID=28"
"MOLLER ROAD STORM SEWER AND PAVEMENT IMPROVEMENTS PHASE 2","B-24-02","Engineering","Status:","N/A","N/A","N/A","N/A","N/A","Description:



Work of the Contract is for construction of roadway pavement, curbs, sidewalks, wheelchair ramps, driveways, signage, pavement striping, storm sewers, ditch re grading, sanitary sewer adjustments, leads, manholes, inlets, waterlines and appurtenances throughout the project limits. The Contract Work includes, but is not limited to: removal and replacement of the existing concrete pavement, asphalt pavement, base material, concrete curb, wheelchair ramps, sidewalks and driveways; the removal, replacement, adjustment or abandonment of storm sewer lines, leads, inlets, manholes and culverts; the removal, replacement, adjustment or abandonment of water lines, sanitary sewer lines, valves, meters, and fire hydrants; the removal and replacement of sod, pavement markings, and permanent signs; the removal and relocation of mailboxes; the placement and removal of traffic control, tree protection and erosion control devices.

Electronic copies of the plans, specifications and bidding documents for the project can be obtained from:

2024.03.13 Moller Road Phase 2","N/A","[{""title"":""B-24-02 Moller Road Project"",""url"":""https://www.alvin-tx.gov/DocumentCenter/View/1529""}]","https://www.alvin-tx.gov/bids.aspx?bidID=11"
