"bidTitle","bidPeriod","bidType","organization","status","bidLink","fileName","issueDate","closeDate","description","contactInfo","notes"
"Lease/Purchase - Financing Mack Trucks","February 2025","PDF Document","Anderson County","Available","https://www.co.anderson.tx.us/upload/page/10981/BID%20PKG%20FOR%20FINANCING%20MACKS%202025.pdf","BID%20PKG%20FOR%20FINANCING%20MACKS%202025.pdf","February 2025","","Lease/Purchase - Financing Mack Trucks - February 2025","Anderson County Auditor Office, 703 N. Mallard St., Ste. 110, Palestine, Texas 75801","PDF document available for download"
"Truck Beds","February 2025","PDF Document","Anderson County","Available","https://www.co.anderson.tx.us/upload/page/10981/TRUCK%20BEDS.pdf","TRUCK%20BEDS.pdf","February 2025","","Truck Beds - February 2025","Anderson County Auditor Office, 703 N. Mallard St., Ste. 110, Palestine, Texas 75801","PDF document available for download"
"Real Estate Brokerage Services","November 2024","PDF Document","Anderson County","Available","https://www.co.anderson.tx.us/upload/page/10981/REAL%20ESTATE%20BROKERAGE%20RFP%202024%20A.pdf","REAL%20ESTATE%20BROKERAGE%20RFP%202024%20A.pdf","November 2024","","Real Estate Brokerage Services - November 2024","Anderson County Auditor Office, 703 N. Mallard St., Ste. 110, Palestine, Texas 75801","PDF document available for download"
"Iron Ore Gravel","Rebid 2025","PDF Document","Anderson County","Available","https://www.co.anderson.tx.us/upload/page/10981/BID%20PKG%20IRON%20ORE%20GRAVEL%202025%20REBID.pdf","BID%20PKG%20IRON%20ORE%20GRAVEL%202025%20REBID.pdf","Rebid 2025","","Iron Ore Gravel - Rebid 2025","Anderson County Auditor Office, 703 N. Mallard St., Ste. 110, Palestine, Texas 75801","PDF document available for download"
"Asphalt Treated Road Material","Annual Bids - 2025","PDF Document","Anderson County","Available","https://www.co.anderson.tx.us/upload/page/10981/2025%20Bids/BID%20PACKAGE%20ASPHALT%20TREATED%20ROAD%20MAT%202026.pdf","BID%20PACKAGE%20ASPHALT%20TREATED%20ROAD%20MAT%202026.pdf","Annual Bids - 2025","","Asphalt Treated Road Material - Annual Bids - 2025","Anderson County Auditor Office, 703 N. Mallard St., Ste. 110, Palestine, Texas 75801","PDF document available for download"
"Base Stone","Annual Bids - 2025","PDF Document","Anderson County","Available","https://www.co.anderson.tx.us/upload/page/10981/2025%20Bids/BID%20PKG%20BASE%20STONE%202026.pdf","BID%20PKG%20BASE%20STONE%202026.pdf","Annual Bids - 2025","","Base Stone - Annual Bids - 2025","Anderson County Auditor Office, 703 N. Mallard St., Ste. 110, Palestine, Texas 75801","PDF document available for download"
"Corrugated Metal Pipe","Annual Bids - 2025","PDF Document","Anderson County","Available","https://www.co.anderson.tx.us/upload/page/10981/2025%20Bids/BID%20PKG%20CORRUGATED%20METAL-POLYPROPYLENE%20PIPE%202026.pdf","BID%20PKG%20CORRUGATED%20METAL-POLYPROPYLENE%20PIPE%202026.pdf","Annual Bids - 2025","","Corrugated Metal Pipe - Annual Bids - 2025","Anderson County Auditor Office, 703 N. Mallard St., Ste. 110, Palestine, Texas 75801","PDF document available for download"
"Hauling","Annual Bids - 2025","PDF Document","Anderson County","Available","https://www.co.anderson.tx.us/upload/page/10981/2025%20Bids/BID%20PKG%20FOR%20HAULING%202026.pdf","BID%20PKG%20FOR%20HAULING%202026.pdf","Annual Bids - 2025","","Hauling - Annual Bids - 2025","Anderson County Auditor Office, 703 N. Mallard St., Ste. 110, Palestine, Texas 75801","PDF document available for download"
"Gasoline Diesel Fuel","Annual Bids - 2025","PDF Document","Anderson County","Available","https://www.co.anderson.tx.us/upload/page/10981/2025%20Bids/BID%20PKG%20GASOLINE%20DIESEL%20FUEL%202026.pdf","BID%20PKG%20GASOLINE%20DIESEL%20FUEL%202026.pdf","Annual Bids - 2025","","Gasoline Diesel Fuel - Annual Bids - 2025","Anderson County Auditor Office, 703 N. Mallard St., Ste. 110, Palestine, Texas 75801","PDF document available for download"
"Iron Ore Gravel","Annual Bids - 2025","PDF Document","Anderson County","Available","https://www.co.anderson.tx.us/upload/page/10981/2025%20Bids/BID%20PKG%20IRON%20ORE%20GRAVEL%202026.pdf","BID%20PKG%20IRON%20ORE%20GRAVEL%202026.pdf","Annual Bids - 2025","","Iron Ore Gravel - Annual Bids - 2025","Anderson County Auditor Office, 703 N. Mallard St., Ste. 110, Palestine, Texas 75801","PDF document available for download"
