"projectTitle","description","fileName","clickHereLink"
"FY 24 - 25 Design and Planning Consultants - Road Bond Addendum 1 Addendum 2: RFQ Q&A","Design and Planning Consultants - Road Bond","RFQ 5CCP 1Q Design and Planning Consultants - Road Bond","https://www.co.caldwell.tx.us/upload/page/0074/RFQ25CCP01Q%20Design%20and%20Planning%20Consultants%20-%20Road%20Bond.pdf"
"Addendum 1","Addendum 1","Addendum1 RFQ 5CCP 1Q Caldwell County","https://www.co.caldwell.tx.us/upload/page/0074/Addendum1_RFQ25CCP01Q_Caldwell%20County.pdf"
"Addendum 2: RFQ Q&A","Addendum 2: RFQ Q&A","Addendum RFQ 5CCP 1Q-QuestionsAndAnswers","https://www.co.caldwell.tx.us/upload/page/0074/Addendum2RFQ25CCP01Q-QuestionsAndAnswers.pdf"
"RFQ 24CCP04Q General Engineering Consultant -Road_Bond","RFQ 24CCP04Q General Engineering Consultant -Road_Bond","RFQ 4CC General Engineering Consultant - Road Bond","https://www.co.caldwell.tx.us/upload/page/0074/RFQ24CC_General_Engineering_Consultant_-_Road_Bond.pdf"
"RFB 22CCP01B Road Materials","RFB 22CCP01B Road Materials","RFB CCP 1B Road Materials","https://www.co.caldwell.tx.us/upload/page/0074/RFB%2022CCP01B%20Road%20Materials.pdf"
"RFP 22CCP01P IT MSP","RFP 22CCP01P IT MSP","RFP CCP 1P IT MSP","https://www.co.caldwell.tx.us/upload/page/0074/RFP%2022CCP01P%20IT%20MSP.pdf"
"RFQ 22CCP01Q Engineering Pool","RFQ 22CCP01Q Engineering Pool","RFQ CCO 1Q Final","https://www.co.caldwell.tx.us/upload/page/0074/RFQ%2022CCO01Q%20Final.pdf"
"RFB 23CCP01B Road Materials","RFB 23CCP01B Road Materials","RFB 3CCP 1B Road Materials","https://www.co.caldwell.tx.us/upload/page/0074/RFB%2023CCP01B%20Road%20Materials.pdf"
"RFQ 23CCP01Q Subdivision Services","RFQ 23CCP01Q Subdivision Services","RFQ 3CCP 1Q","https://www.co.caldwell.tx.us/upload/page/0074/RFQ%2023CCP01Q.pdf"
"RFB 24CCP01B Aggregate","RFB 24CCP01B Aggregate","RFB 4CCP 1B","https://www.co.caldwell.tx.us/upload/page/0074/RFB%2024CCP01B.pdf"
"RFP 24CCP02P Uniform Services","RFP 24CCP02P Uniform Services","RFP 4CCP P Uniform Services","https://www.co.caldwell.tx.us/upload/page/0074/RFP%2024CCP02P%20Uniform%20Services.pdf"
"RFP24CCP01P Hazard Mitigation Plan","RFP24CCP01P Hazard Mitigation Plan","RFP 4CCP 1P Closed","https://www.co.caldwell.tx.us/upload/page/0074/RFP%2024CCP01P%20Closed.pdf"
"RFQ 24CCP01Q Courthouse Master Plan","RFQ 24CCP01Q Courthouse Master Plan","RFQ 4CCP 1Q Closed","https://www.co.caldwell.tx.us/upload/page/0074/RFQ%2024CCP01Q%20Closed.pdf"
"RFB 24CCP03B Jail Food Services","RFB 24CCP03B Jail Food Services","RFB 4CCP 3B Jail Services","https://www.co.caldwell.tx.us/upload/page/0074/RFB%2024CCP03B%20Jail%20Services.pdf"
"RFB 24CCP02B Unit Road Materials","RFB 24CCP02B Unit Road Materials","RFB 4CCP B Unit Road","https://www.co.caldwell.tx.us/upload/page/0074/RFB%2024CCP02B%20Unit%20Road.pdf"
"Questions & Updates","Questions & Updates","Questions RFB 4CCP B","https://www.co.caldwell.tx.us/upload/page/0074/Questions%20RFB%2024CCP02B.pdf"
"Establishing Your Bid Price - Fuel","Establishing Your Bid Price - Fuel","ESTABLISHING YOUR BID PRICE","https://www.co.caldwell.tx.us/upload/page/0074/ESTABLISHING%20YOUR%20BID%20PRICE.pdf"
"Caldwell County Evacuation Center GLO Contract No. 22-085-024-D265 - Closed","Caldwell County Evacuation Center GLO Contract No. 22-085-024-D265 - Closed","GLO Evac Website","https://www.co.caldwell.tx.us/upload/page/0074/GLO%20Evac%20Website.pdf"
"RFQ 24CCP02Q Development Regulations Revisions - Closed","RFQ 24CCP02Q Development Regulations Revisions - Closed","RFQ 4CCP Q Dev Reg","https://www.co.caldwell.tx.us/upload/page/0074/RFQ%2024CCP02Q%20Dev%20Reg.pdf"
"RFP 24CCP03P CG for Justice Center Remodel - PSAP","RFP 24CCP03P CG for Justice Center Remodel - PSAP","RFP 4CCP 3P","https://www.co.caldwell.tx.us/upload/page/0074/RFP24CCP03P.pdf"
"Addendum No. 01","Addendum No. 01","8.13. 4 Agenda Approve Addendum No 1 RFP 4CCP 3P","https://www.co.caldwell.tx.us/upload/page/0074/08.13.24%20Agenda%20Approve%20Addendum%20No%201%20RFP%2024CCP03P.pdf"
"RFB 24CCP03B Jail Food - RESOLICIT","RFB 24CCP03B Jail Foo","RFB Jail Food Final Draft","https://www.co.caldwell.tx.us/upload/page/0074/RFB%20Jail%20Food%20Final%20Draft.pdf"
"Jail Menu and Bid Sheet","Jail Menu and Bid Sheet","Jail Menu and Bid Sheet","https://www.co.caldwell.tx.us/upload/page/0074/Jail%20Menu%20and%20Bid%20Sheet.pdf"
"RFQ24CCP03Q Caldwell County PID Administrator","RFQ24CCP03Q Caldwell County PID Administrator","RFQ 4CCP 3Q Caldwell County PID Administrator","https://www.co.caldwell.tx.us/upload/page/0074/RFQ24CCP03Q%20Caldwell%20County%20PID%20Administrator.pdf"
"RFP24CCP05P- Financial Audit Services","RFP24CCP05P- Financial Audit Services","RFP 4CCP 5P- Financial Audit Services","https://www.co.caldwell.tx.us/upload/page/0074/RFP24CCP05P-%20Financial%20Audit%20Services.pdf"
"Amendment No. 1 - RFP24CCP05P","Amendment No. 1 - RFP24CCP05P","1 . 4. 4 Signed Amendment No. 1 - RFP 4CCP 5P External Audit","https://www.co.caldwell.tx.us/upload/page/0074/10.24.24%20Signed%20Amendment%20No.%201%20-%20%20RFP24CCP05P%20External%20Audit.pdf"
"","","Bid Tabulation Sheet - TxDOT Transportation","https://www.co.caldwell.tx.us/upload/page/0074/Bid%20Tabulation%20Sheet%20-%20TxDOT%20Transportation.pdf"
"Auction Information","Auction Information","","https://www.govdeals.com/"
