"county","state","bidDate","projectName","projectLink","bidID","estimate","type","owner","location","scope","preBidDate","preBidTime","preBidLocation","bidTime","bidLocation","contactName","contactPhone","contactEmail"
"TBA","State: TX","TBA","HPW - Northwest Wastewater Treatment Plant Improvements - 100% Submittal - NOT FOR BID","https://www.civcastusa.com/project/67b79f6d586cd806afe76cbd/summary","R-000265-0150-3","N/A","N/A","N/A","Harris County, TX","90 % Submittal - NOT FOR BID","R-000265-0150-3","N/A","N/A","N/A","N/A","R-000265-0150-3","N/A","N/A"
"9/04/2025","State: TX","9/04/2025","Trinity River Authority - Central Regional Wastewater System- Meter Station Rehabilitation Group 1, Meter Station MS 3.0M","https://www.civcastusa.com/project/6888dc745b5c181344d83c01/summary","3110.2014","N/A","N/A","N/A","Dallas County, TX","Meter station site construction which includes extending power to the site, a 50-foot deep concrete meter vault, site grading, concrete pavement, etc.
1,800 LF of 78-inch and 90-inch wastewater interceptor
930 LF of double-barrel 54-inch wastewater siphon across Mountain Creek
2,200 LF of 15-inch wastewater main
160 LF of 116-inch tunnel under Jefferson Boulevard
Two flexbase access driveways
Abandonment of existing meter station and wastewater interceptor","3110.2014","N/A","N/A","N/A","N/A","3110.2014","N/A","N/A"
"TBA","State: TX","TBA","Wastewater Treatment Plant Expansion Phase 2 Projects Contractor Open House","https://www.civcastusa.com/project/68653656d66fdc3d7769e63d/summary","NOTICE ONLY","N/A","N/A","N/A","Hays County, TX","The City of Kyle, Texas has retained STV to design the Phase 2 expansion at the Kyle Wastewater Treatment Plant (WWTP) and seeks to engage and inform qualified Contractors on the upcoming projects. A Contractor Open House is being held in person on Tuesday, July 8th from 10:00 am to 11:30 am at the City of Kyle Council Chambers located at 100 W. Center Street, Kyle, TX 78640. A presentation on the upcoming expansion projects will be provided, including an overview of the Early Work Package (EWP) and the follow-up Full Work Package (FWP) along with the project timeline and key project dates. The City will employ traditional delivery based on competitive seal proposal (CSP). This event will offer a platform for open discussions to aid the City and STV in the packaging of these important projects for the City of Kyle. Note that seating will be limited, so please coordinate attendance accordingly.


A non-mandatory site visit will be held at the plant at 1:00 pm Tuesday afternoon following the presentation. Additional information on the site visit will be provided during the presentation for those who choose to participate.

 

RSVP: https://procurement.opengov.com/portal/cityofkyle/projects/181374","NOTICE ONLY","N/A","N/A","N/A","N/A","NOTICE ONLY","N/A","N/A"
"8/28/2025","State: TX","8/28/2025","MCMUD No. 100 Water, Wastewater and Storm to serve Chambers Creek Section 13","https://www.civcastusa.com/project/688a1b7ef4170774ce0c67dd/summary","141-044-13 DST (J)","N/A","N/A","N/A","Montgomery County, TX","Project scope shall include the installation of 3,636 LF of 6”- 12” PVC waterline; 2,937 LF of 8” PVC gravity sanitary sewer; 1,812 LF of 24”- 36” RCP storm sewer.","141-044-13 DST (J)","N/A","N/A","N/A","N/A","141-044-13 DST (J)","N/A","N/A"
"8/28/2025","State: TX","8/28/2025","HPW- Intercontinental Airport (IAH) Wastewater Treatment Plant Improvements","https://www.civcastusa.com/project/6882389e28dfeedc2c2eea28/summary","R-000265-0117-4","N/A","N/A","N/A","Harris County, TX","This project consists of IAH WWTP improvements. Construction of new 9960 square foot Administration building, 6000 square foot dewatering building including a 1137 square foot electrical and control room and 2925 square foot covered truck bay. Additionally, procuring and installation of dewatering equipment, security system, IT, etc. are the scope of this project.","R-000265-0117-4","N/A","N/A","N/A","N/A","R-000265-0117-4","N/A","N/A"
"8/21/2025","State: TX","8/21/2025","HPW - Wastewater Collection System Rehabilitation and Renewal","https://www.civcastusa.com/project/68826c7a630edcd7eead737d/summary","R-000266-0403-4 (File No. 4235-130)","N/A","N/A","N/A","Harris County, TX","Work of the contract includes 90 point repairs on sanitary sewers ranging in size from 6 to 24-inches in diameter; 900 feet of additional sewer replacement beyond these point repairs; 90 Service Lateral Repair or Replacement up to 8‘ from center line of Main; 2,000 feet of Service Lateral Repair or Replacement beyond 8‘ from center line of Main; Sliplining or Pipe Bursting approximately 8,650 feet of sanitary sewer ranging from 6 to 24-inches in diameter; Static Pipe Bursting approximately 1,850 feet of sanitary sewer ranging from 6 to 18-inches in diameter; Slurry Boring approximately 750 feet of sanitary sewer ranging from 8 to 12-inches in diameter; cleaning and televising of 123,000 feet of sanitary sewer ranging in size from 6 to 24-inches in diameter; reconnecting 130 services; construction of approximately 30 new manholes; 250 vertical feet of manhole rehabilitation; 1000 square yards of removal and replacement of up to 2"" hot-mix asphaltic concrete and 1000 square yards of removal and replacement of concrete pavement; and ancillary work to remove and restore surface features disturbed as a result of the work.","R-000266-0403-4 (File No. 4235-130)","N/A","N/A","N/A","N/A","R-000266-0403-4 (File No. 4235-130)","N/A","N/A"
"8/19/2025","State: TX","8/19/2025","WHCMUD No. 11 Wastewater Treatment Plant Conversion to Bleach for Disinfection","https://www.civcastusa.com/project/688bbfc0e8a042a37c93b562/summary","241-080-21 (I)","N/A","N/A","N/A","Harris County, TX","Project scope shall include the removal of the existing gas chlorination (Cl2) and dechlorination (SO2) systems; installation of two (2) 1,000-gallon bleach tanks; two (2) 540-gallon sodium bisulfite tanks; peristaltic metering pumps; safety equipment; site and yard piping; and associated electrical wiring and controls.","241-080-21 (I)","N/A","N/A","N/A","N/A","241-080-21 (I)","N/A","N/A"
"8/14/2025","State: TX","8/14/2025","HCMUD No. 109 Atascocita Joint Operations Board Wastewater Treatment Plant Belt Press Replacement","https://www.civcastusa.com/project/68752d235062060221f77d80/summary","13337-00","N/A","N/A","N/A","Harris County, TX","INVITATION TO BIDDERS

Sealed bids, in duplicate, addressed to Board of Directors, Harris County Municipal Utility District No. 109, will be received at the office of BGE, Inc., 10777 Westheimer, Suite 500; Houston, Texas, 77042 (Phone: 281-558-8700) OR electronically through www.civcastusa.com, until 10:00 AM Local Time, Thursday, August 14, 2025, at which time all bids will be opened and publicly read at the office of BGE, Inc. and through Microsoft Teams. The Call-in number is (832) 680-2579 and the Conference ID is 371 505 831# for the furnishing of all material, equipment, labor and supervision necessary or incidental to “Construction of Atascocita Joint Operations Board Wastewater Treatment Plant Belt Press Replacement for Harris County MUD No. 109, Harris County, Texas.”

 

Scope of Project:

 

Demolition, removal, and disposal of existing north belt press, electrical, foundation, piping, access platforms, polymer chemical system, and existing sludge handling building roofing and siding panels. Replacing all the removed items with new, including column additions for the proposed belt press. All work shall be in accordance with plans and specifications. Complete in Place

 

Bids received after the closing time will be returned unopened. 

 

There will be no pre-bid meeting associated with this project.

 

Plans, specifications and bid documents are available at www.civcastusa.com, search: 13337-00.

 

A Bidder submitting Electronic Bids must submit its Bid and bid securities in compliance with Owner’s Order Adopting Section 49.2731 Electronic Bidding Rules and all Bids and bid securities must be submitted through www.civcastusa.com. By submitting a Bid, Bidder acknowledges and agrees that the Contract Documents may be accepted, executed or agreed to through the use of an Electronic Signature in accordance with Owner’s Electronic Signature Rules for Construction Contracts.

 

A cashier’s check or bid bond in the amount of 5% of the total bid amount must accompany each bid. The successful bidder will be required to provide performance, payment and maintenance bonds for the full amount of the contract. The Owner reserves the right to reject any or all bids.","13337-00","N/A","N/A","N/A","N/A","13337-00","N/A","N/A"
"8/13/2025","State: TX","8/13/2025","HCMUD No. 418 Wastewater Treatment Plant No. 3 Phase II and III","https://www.civcastusa.com/project/687564f22d5e41f08247e239/summary","12523-00","N/A","N/A","N/A","Harris County, TX","INVITATION TO BIDDERS

 

 

Sealed bids, in duplicate, addressed to Bridgeland Development, LP on behalf of Harris County Municipal Utility District No. 418 will be received in the office of BGE, Inc., 10777 Westheimer Road, Suite 500, Houston, Texas 77042 until 3:00 p.m. on Wednesday, August 13, 2025, at which time all bids will be opened and publicly read at the office of BGE, Inc. and through Microsoft Teams. The Call-in number is (832) 680-2579 and the Conference ID is 159 562 297# for the furnishing of all material, equipment, labor, and supervision necessary or incidental to the “Wastewater Treatment Plant No. 3 Phase II and III.”

 

Scope of Project:

 

Proposed 0.50 MGD WWTP expansion. Total plant capacity to 0.65 MGD average flow. The proposed expansion includes aeration basins, digester basins, clarifier, disinfection basin, blowers driveway and sidewalks. Proposed approximately 1,500 LF of 18"" RCP stormsewer to existing detention outfall.

                                                       

A non-mandatory pre-bid conference will be held through Microsoft Teams, Wednesday, July 30, 2025 at 3:00 p.m. Local Time.   The Call-in number is (832) 680-2579 and the Conference ID is 554 484 180#.

 

Plans, specifications, and bid documents are available at www.civcastusa.com, search 12523-00.

 

A cashier’s check or bid bond in the amount of 5% of the total bid amount must accompany each bid. The successful bidder will be required to provide a performance bond, a payment bond, and a maintenance bond for the full amount of the contract. The Owner reserves the right to reject any or all bids.","12523-00","N/A","N/A","N/A","N/A","12523-00","N/A","N/A"
"8/13/2025","State: TX","8/13/2025","HCMUD No. 578 Water, Wastewater and Storm to serve Synova Street Dedication & Reserves, Section 3","https://www.civcastusa.com/project/6882802fcd859de1f5efb234/summary","211-132-45 DST (J)","N/A","N/A","N/A","Harris County, TX","Project scope shall include the installation of approximately 1,430 LF of 8” PVC water line; 1,400 LF of 8” -12” PVC gravity sanitary sewer; 120 LF of 24”-30” PP storm sewer and 120 LF of 54” RCP storm sewer.","211-132-45 DST (J)","N/A","N/A","N/A","N/A","211-132-45 DST (J)","N/A","N/A"
