"bidNumber","bidTitle","description","releaseDate","dueDate","bidStatus","bidType","projectLink","isPDF","city","state","county","contactInfo","additionalDetails","bidAmount","specifications"
"25-016","Consulting Services for HOME Investment Partnerships (HOME) Program","Consulting Services for HOME Investment Partnerships (HOME) Program","07/09/2025","07/28/2025","Open","Unknown","https://www.pasadenatx.gov/DocumentCenter/View/10211/RFQ-25-016---Consulting-Services-for-HOME-Investment-Partnerships-HOME-Program",false,"Pasadena","Texas","Harris County","Contact: Purchasing Department, City of Pasadena, Texas, P.O. Box 672, Pasadena, TX 77501-0672, Phone: 713-475-5532","Document available for download","N/A","N/A"
"25-012Addendum 1","Interior Renovations to Add a Police Museum in an Existing BuildingAddendum 1","Interior Renovations to Add a Police Museum in an Existing BuildingAddendum 1 (Addendum 1)","07/02/2025","07/28/2025","Open","Unknown","https://www.pasadenatx.gov/DocumentCenter/View/10188/RFP-25-012-Police-Museum",false,"Pasadena","Texas","Harris County","Contact: Purchasing Department, City of Pasadena, Texas, P.O. Box 672, Pasadena, TX 77501-0672, Phone: 713-475-5532","Document available for download","N/A","N/A"
"25-017","Veterinary Pharmaceuticals and Medical Supplies","Veterinary Pharmaceuticals and Medical Supplies","06/18/2025","07/21/2025","Open","Unknown","https://www.pasadenatx.gov/DocumentCenter/View/10143/25-017-Veterinary-Pharmaceuticals-and-Medical-Supplies",false,"Pasadena","Texas","Harris County","Contact: Purchasing Department, City of Pasadena, Texas, P.O. Box 672, Pasadena, TX 77501-0672, Phone: 713-475-5532","Document available for download","N/A","N/A"
"Under Evaluation","Dental & Vision RFPAddendum 1Addendum 2","Dental & Vision RFPAddendum 1Addendum 2 (Addendum 1; Addendum 2)","04/30/2025","06/02/2025","Under Evaluation","RFP","",false,"Pasadena","Texas","Harris County","Contact: Purchasing Department, City of Pasadena, Texas, P.O. Box 672, Pasadena, TX 77501-0672, Phone: 713-475-5532","No document link available","N/A","N/A"
"Under Evaluation","Management, Operations, & Maintenance Services for Wastewater Treatment PlantsAddendum 1Addendum 2Addendum 3","Management, Operations, & Maintenance Services for Wastewater Treatment PlantsAddendum 1Addendum 2Addendum 3 (Addendum 1; Addendum 2; Addendum 3)","04/30/2025","06/23/2025","Under Evaluation","Unknown","",false,"Pasadena","Texas","Harris County","Contact: Purchasing Department, City of Pasadena, Texas, P.O. Box 672, Pasadena, TX 77501-0672, Phone: 713-475-5532","No document link available","N/A","N/A"
"Under Evaluation","Emergency Food Service","Emergency Food Service","04/10/2025","05/12/2025","Under Evaluation","Unknown","",false,"Pasadena","Texas","Harris County","Contact: Purchasing Department, City of Pasadena, Texas, P.O. Box 672, Pasadena, TX 77501-0672, Phone: 713-475-5532","No document link available","N/A","N/A"
"Awarded","RFP for Liquid Pool ChemicalsRFP for Liquid Pool Chemicals - Addendum 1","RFP for Liquid Pool ChemicalsRFP for Liquid Pool Chemicals - Addendum 1 (RFP for Liquid Pool Chemicals - Addendum 1)","02/05/2025","02/24/2025","Awarded","RFP","https://www.pasadenatx.gov/611/RFP%2025-008",false,"Pasadena","Texas","Harris County","Contact: Purchasing Department, City of Pasadena, Texas, P.O. Box 672, Pasadena, TX 77501-0672, Phone: 713-475-5532","Document available for download","N/A","N/A"
"Awarded","RFP for Debris MonitoringRFP for Debris Monitoring - Addendum 1","RFP for Debris MonitoringRFP for Debris Monitoring - Addendum 1 (RFP for Debris Monitoring - Addendum 1)","01/30/2025","02/24/2025","Awarded","RFP","",false,"Pasadena","Texas","Harris County","Contact: Purchasing Department, City of Pasadena, Texas, P.O. Box 672, Pasadena, TX 77501-0672, Phone: 713-475-5532","No document link available","N/A","N/A"
"Canceled","RFP for Emergency Food Services","RFP for Emergency Food Services","01/30/2025","02/24/2025","Canceled","RFP","",false,"Pasadena","Texas","Harris County","Contact: Purchasing Department, City of Pasadena, Texas, P.O. Box 672, Pasadena, TX 77501-0672, Phone: 713-475-5532","No document link available","N/A","N/A"
"Awarded","RFP for Emergency Debris RemovalRFP for Emergency Debris Removal - Addendum 1","RFP for Emergency Debris RemovalRFP for Emergency Debris Removal - Addendum 1 (RFP for Emergency Debris Removal - Addendum 1)","01/30/2025","02/24/2025","Awarded","RFP","",false,"Pasadena","Texas","Harris County","Contact: Purchasing Department, City of Pasadena, Texas, P.O. Box 672, Pasadena, TX 77501-0672, Phone: 713-475-5532","No document link available","N/A","N/A"
"Awarded","RFP for Administration/Planning Services for CDBG-DRRP","RFP for Administration/Planning Services for CDBG-DRRP","01/29/2025","02/13/2025","Awarded","RFP","",false,"Pasadena","Texas","Harris County","Contact: Purchasing Department, City of Pasadena, Texas, P.O. Box 672, Pasadena, TX 77501-0672, Phone: 713-475-5532","No document link available","N/A","N/A"
"Awarded","IFB Full Circle Repair Clamps","IFB Full Circle Repair Clamps","01/15/2025","02/03/2025","Awarded","IFB","",false,"Pasadena","Texas","Harris County","Contact: Purchasing Department, City of Pasadena, Texas, P.O. Box 672, Pasadena, TX 77501-0672, Phone: 713-475-5532","No document link available","N/A","N/A"
"Awarded","IFB Fire Extinguisher Services","IFB Fire Extinguisher Services","01/15/2025","02/03/2025","Awarded","IFB","",false,"Pasadena","Texas","Harris County","Contact: Purchasing Department, City of Pasadena, Texas, P.O. Box 672, Pasadena, TX 77501-0672, Phone: 713-475-5532","No document link available","N/A","N/A"
"Awarded","RFP Demolition Services for Dangerous Buildings","RFP Demolition Services for Dangerous Buildings","01/15/2025","02/03/2025","Awarded","RFP","",false,"Pasadena","Texas","Harris County","Contact: Purchasing Department, City of Pasadena, Texas, P.O. Box 672, Pasadena, TX 77501-0672, Phone: 713-475-5532","No document link available","N/A","N/A"
"Under Evaluation","RFP Pasadena Arena and CC OperatorRFP Pasadena Arena and CC Operator - Addendum 1RFP Pasadena Arena and CC Operator - Addendum 2 RFP Pasadena Arena and CC Operator - Addendum 3","RFP Pasadena Arena and CC OperatorRFP Pasadena Arena and CC Operator - Addendum 1RFP Pasadena Arena and CC Operator - Addendum 2 RFP Pasadena Arena and CC Operator - Addendum 3 (RFP Pasadena Arena and CC Operator - Addendum 1; RFP Pasadena Arena and CC Operator - Addendum 2; RFP Pasadena Arena and CC Operator - Addendum 3)","01/09/2025","02/17/2025","Under Evaluation","RFP","",false,"Pasadena","Texas","Harris County","Contact: Purchasing Department, City of Pasadena, Texas, P.O. Box 672, Pasadena, TX 77501-0672, Phone: 713-475-5532","No document link available","N/A","N/A"
"Awarded","RFP for Mosquito Spraying","RFP for Mosquito Spraying","01/01/2025","01/27/2025","Awarded","RFP","",false,"Pasadena","Texas","Harris County","Contact: Purchasing Department, City of Pasadena, Texas, P.O. Box 672, Pasadena, TX 77501-0672, Phone: 713-475-5532","No document link available","N/A","N/A"
"Awarded","RFP Utility Bill Print and MailingRFP Utility Bill Print and Mailing - Addendum 1","RFP Utility Bill Print and MailingRFP Utility Bill Print and Mailing - Addendum 1 (RFP Utility Bill Print and Mailing - Addendum 1)","10/10/2024","11/04/2024","Awarded","RFP","",false,"Pasadena","Texas","Harris County","Contact: Purchasing Department, City of Pasadena, Texas, P.O. Box 672, Pasadena, TX 77501-0672, Phone: 713-475-5532","No document link available","N/A","N/A"
