"projectTitle","description","fileName","clickHereLink"
"Texas General Land Office(GLO) Disaster Recovery Reallocation Program(DRRP) To view Bid Tabulations of RFQ for Engineering Services","To view Bid Tabulations of RFQ for Engineering Services","Engineering Services RFQ Tabulations DRRP","https://www.co.wharton.tx.us/upload/page/6978/docs/Bids/2024/Engineering%20Services%20RFQ%20Tabulations%20DRRP.pdf"
"Texas General Land Office(GLO) Disaster Recovery Reallocation Program(DRRP) To view Bid Tabulations of RFQ for Engineering Services","Texas General Land Office(GLO) Disaster Recovery Reallocation Program(DRRP) To view Bid Tabulations of RFQ for Engineering Services","Grant Admin Svcs RFP Tabulations TX GLO DRRP","https://www.co.wharton.tx.us/upload/page/6978/docs/Bids/2024/Grant%20Admin%20Svcs%20RFP%20Tabulations%20TX%20GLO%20DRRP.pdf"
"Request for Qualifications(RFQ) and Request for Proposals(RFP) - Engineering and Grant Administration Services 2024-2028 FMA, BRIC, FIF, & HMGP Grant Programs To view Bid Tabulations of RFQ for Engineering Services","To view Bid Tabulations of RFQ for Engineering Services","Engineering Services RFQ Tabulations","https://www.co.wharton.tx.us/upload/page/6978/docs/Bids/2024/Engineering%20Services%20RFQ%20Tabulations.pdf"
"Request for Qualifications(RFQ) and Request for Proposals(RFP) - Engineering and Grant Administration Services 2024-2028 FMA, BRIC, FIF, & HMGP Grant Programs To view Bid Tabulations of RFQ for Engineering Services","To view Bid Tabulations of RFP for Grant Administration Services","Grant Admin Svcs RFP Tabulations","https://www.co.wharton.tx.us/upload/page/6978/docs/Bids/2024/Grant%20Admin%20Svcs%20RFP%20Tabulations.pdf"
"To view RE-BID Tabulations for 2025 Oil Based Road Materials","To view RE-BID Tabulations for 2025 Oil Based Road Materials","5 Oil Based Road Materials RE-BID Tabulations","https://www.co.wharton.tx.us/upload/page/6978/docs/Bids/2024/2025%20Oil%20Based%20Road%20Materials%20RE-BID%20Tabulations.pdf"
"2025 Fuel, Road Materials and Chemical Application Bid Tabulations To view Bid Tabulation Sheet for 2025 Fuel","To view Bid Tabulation Sheet for 2025 Fuel","5 Fuel bid Tabulation","https://www.co.wharton.tx.us/upload/page/6978/docs/Bids/2024/2025%20Fuel%20bid%20Tabulation.pdf"
"2025 Fuel, Road Materials and Chemical Application Bid Tabulations To view Bid Tabulation Sheet for 2025 Fuel","To view Bid Tabulation Sheet for 2025 Road Materials","5 Road Materials Bid Tabulations","https://www.co.wharton.tx.us/upload/page/6978/docs/Bids/2024/2025%20Road%20Materials%20Bid%20Tabulations.pdf"
"2025 Fuel, Road Materials and Chemical Application Bid Tabulations To view Bid Tabulation Sheet for 2025 Fuel","To view Bid Tabulation Sheet for 2025 Chemical Application","5 Chemical Application Tabulation","https://www.co.wharton.tx.us/upload/page/6978/docs/Bids/2024/2025%20Chemical%20Application%20Tabulation.pdf"
"Request for Bids - Draw @ CR 107 Notice To Bidders:","Notice To Bidders:","Draw CR 1 7 Notice To Bidders","https://www.co.wharton.tx.us/upload/page/6978/docs/Bids/2025/Draw_CR_107_Notice_To_Bidders.pdf"
"Request for Bids - Draw @ CR 107 Notice To Bidders:","Request for Bid Form:","Draw CR 1 7 Bid Form","https://www.co.wharton.tx.us/upload/page/6978/docs/Bids/2025/Draw_CR_107_Bid_Form.pdf"
"Request for Bids - Draw @ CR 107 Notice To Bidders:","Bridge Structural Plans:","Wakefield Bridge-Wharton County Bridge CR-1 7","https://www.co.wharton.tx.us/upload/page/6978/docs/Bids/2025/Wakefield_Bridge-Wharton_County_Bridge_CR-107.pdf"
"Public Auction - May 12, 2025 through May 22, 2025:","Public Auction - May 12, 2025 through May 22, 2025:","PUBLIC AUCTION May 1 - 5","https://www.co.wharton.tx.us/upload/page/6978/docs/Public%20Auction/2025/PUBLIC_AUCTION_%20May_12-22%202025.pdf"
